Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Turkey,1885162261,1930191471,1583107140,1948819658,2206768903,2337357015,3793480827,4310898804,3881365447,3439090645,4102967451,3765481188,4302066914,4196985792
Tuvalu,,,,,,,,,,,,,,
Tanzania,,16341411,18568819,27507643,44767416,105568119,54800135,28112715,9849468,17983736,16962666,186258425,,
Uganda,,5462447,3637333,6763440,153379164,177393165,9211171,11574770,9670945,8440320,8123723,19912643,,11771659
Ukraine,,,,,2170226921,2877410336,2491983569,2222441328,1626367584,1245921696,1267145051,1247555874,1247990022,1248167887
Upper middle income,,,5.11677E+11,6.60293E+11,7.36348E+11,7.95287E+11,8.61787E+11,8.68374E+11,8.58234E+11,8.01947E+11,8.86331E+11,9.84938E+11,9.60293E+11,
Uruguay,49306191,82005246,81823095,116183372,136348949,198244856,194422906,178779704,273942982,153433875,129215276,120197863,115768291,113421790
United States,2.4448E+11,2.46884E+11,1.54108E+11,1.68939E+11,1.69464E+11,1.72387E+11,1.72145E+11,1.79264E+11,1.7835E+11,1.76346E+11,1.5664E+11,1.56037E+11,1.56074E+11,1.43489E+11
Uzbekistan,,,,,,,,,,,41086846,12428993,20483658,50754263
St. Vincent and the Grenadines,,,44381,8505,1400,2654,11119,2093,,185,55,111,1120024,
"Venezuela, RB",,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,
Vietnam,,3013196849,3533737534,6068690971,11706749291,21344684276,32759458404,36377184989,47523875603,55215295475,74113940404,82613421026,90436077041,1.01537E+11
Vanuatu,,,,,,,,,,,,,,
World,,,,,,2.21593E+12,2.32424E+12,2.37219E+12,2.28657E+12,2.24051E+12,2.67462E+12,2.91877E+12,,
Samoa,,,183567,591471,365979,114963,210811,429821,146345,171154,74642,142117,105679,
Kosovo,,,,,,,,,,,,,,
"Yemen, Rep.",,,382625,398148,678968,584721,2668283,1319726,5030503,,,,,
South Africa,1933241745,2088731883,1491786653,2504909082,2743512237,2861663843,2614982073,2808161581,2823858584,2398334403,2198489231,2097575871,1832937779,1837384291
Zambia,,9075537,6210779,4744232,15301948,54715143,40338876,21085881,53313918,256257250,36465219,25805507,22478701,10697410
Zimbabwe,,58986684,7581241,9513492,8996040,20209902,19021956,12140907,11830010,13735166,11206210,9719357,27810712,8277373
